     Angle, Det1Disc1,
     56.35,        24,
      56.4,        15,
     56.45,        23,
      56.5,        13,
     56.55,        17,
      56.6,        23,
     56.65,        17,
      56.7,        21,
     56.75,        19,
      56.8,        11,
     56.85,        11,
      56.9,        13,
     56.95,        18,
        57,        18,
     57.05,        13,
      57.1,        16,
     57.15,        30,
      57.2,        10,
     57.25,         9,
      57.3,        18,
     57.35,        12,
      57.4,        14,
     57.45,        13,
      57.5,        12,
     57.55,        14,
      57.6,        13,
     57.65,        22,
      57.7,        18,
     57.75,        13,
      57.8,        14,
     57.85,        17,
      57.9,        19,
     57.95,        21,
        58,        15,
     58.05,        13,
      58.1,        15,
     58.15,         9,
      58.2,        12,
     58.25,        14,
      58.3,        17,
     58.35,         9,
      58.4,         9,
     58.45,        30,
      58.5,        12,
     58.55,        11,
      58.6,        13,
     58.65,        17,
      58.7,        14,
     58.75,        15,
      58.8,        17,
     58.85,        15,
      58.9,        14,
     58.95,        15,
        59,        16,
     59.05,        10,
      59.1,        17,
     59.15,        13,
      59.2,        12,
     59.25,        14,
      59.3,         5,
     59.35,        19,
      59.4,        21,
     59.45,        19,
      59.5,        13,
     59.55,        13,
      59.6,        10,
     59.65,        16,
      59.7,        19,
     59.75,         8,
      59.8,        10,
     59.85,        12,
      59.9,        13,
     59.95,        15,
        60,        14,
     60.05,        16,
      60.1,        22,
     60.15,        10,
      60.2,        11,
     60.25,        12,
      60.3,         9,
     60.35,        13,
      60.4,        10,
     60.45,        18,
      60.5,        11,
     60.55,        15,
      60.6,         9,
     60.65,        17,
      60.7,        14,
     60.75,        12,
      60.8,        13,
     60.85,         8,
      60.9,        14,
     60.95,        12,
        61,        17,
     61.05,        14,
      61.1,        11,
     61.15,        12,
      61.2,        18,
     61.25,        15,
      61.3,        15,
     61.35,        14,
      61.4,         7,
     61.45,        18,
      61.5,        15,
     61.55,        15,
      61.6,        19,
     61.65,        19,
      61.7,        19,
     61.75,        18,
      61.8,        17,
     61.85,        18,
      61.9,        21,
     61.95,        20,
        62,        30,
     62.05,        38,
      62.1,        60,
     62.15,        77,
      62.2,        59,
     62.25,        41,
      62.3,        46,
     62.35,        46,
      62.4,        34,
     62.45,        29,
      62.5,        34,
     62.55,        49,
      62.6,        88,
     62.65,       169,
      62.7,       256,
     62.75,       226,
      62.8,       159,
     62.85,       173,
      62.9,       156,
     62.95,       101,
        63,        53,
     63.05,        22,
      63.1,        25,
     63.15,        11,
      63.2,        16,
     63.25,        15,
      63.3,        27,
     63.35,        18,
      63.4,        17,
     63.45,        19,
      63.5,        12,
     63.55,        12,
      63.6,        19,
     63.65,         8,
      63.7,         8,
     63.75,         8,
      63.8,        12,
     63.85,        17,
      63.9,        15,
     63.95,        13,
        64,        15,
     64.05,        18,
      64.1,        13,
     64.15,        20,
      64.2,         9,
     64.25,        21,
      64.3,        16,
     64.35,         9,
      64.4,        13,
     64.45,        10,
      64.5,        13,
     64.55,         9,
      64.6,        10,
     64.65,        12,
      64.7,        18,
     64.75,        15,
      64.8,        15,
     64.85,        12,
      64.9,        10,
     64.95,        10,
        65,        15,
     65.05,        11,
      65.1,        20,
     65.15,         7,
      65.2,        14,
     65.25,        10,
      65.3,        22,
     65.35,        11,
      65.4,        12,
     65.45,        10,
      65.5,        15,
     65.55,        14,
      65.6,        19,
     65.65,        14,
      65.7,        14,
     65.75,        12,
      65.8,        13,
     65.85,        13,
      65.9,        10,
     65.95,        10,
        66,        17,
     66.05,         9,
      66.1,         8,
     66.15,        12,
      66.2,        14,
     66.25,        18,
      66.3,        17,
     66.35,        10,
      66.4,        17,
     66.45,        15,
      66.5,        14,
     66.55,         8,
      66.6,        17,
     66.65,         9,
      66.7,        12,
     66.75,         8,
      66.8,        12,
     66.85,        13,
      66.9,        11,
     66.95,        12,
        67,        20,
     67.05,        10,
      67.1,        13,
     67.15,         9,
      67.2,        12,
     67.25,        13,
      67.3,        18,
     67.35,        18,
      67.4,        17,
     67.45,        23,
      67.5,         9,
     67.55,        15,
      67.6,        19,
     67.65,         7,
      67.7,        15,
     67.75,        19,
      67.8,        16,
     67.85,         8,
      67.9,        11,
     67.95,        16,
        68,        10,
     68.05,         7,
      68.1,        14,
     68.15,        22,
      68.2,        20,
     68.25,        11,
      68.3,        17,
     68.35,        24,
      68.4,        14,
     68.45,        16,
      68.5,        19,
     68.55,        24,
      68.6,        31,
     68.65,        32,
      68.7,        49,
     68.75,        95,
      68.8,       119,
     68.85,        69,
      68.9,        68,
     68.95,        60,
        69,        59,
     69.05,        55,
      69.1,        29,
     69.15,        17,
      69.2,        22,
     69.25,        13,
      69.3,        18,
     69.35,        19,
      69.4,        13,
     69.45,        13,
      69.5,        13,
     69.55,        14,
